Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.45610,13.01875,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.38234,12.81876,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.38465,12.82458,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.30607,12.60624,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.31349,12.63976,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.54780,12.87199,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.51440,12.82901,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.47603,12.69179,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.47609,12.69127,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.43724,12.61493,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.43696,12.61424,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.29410,12.43659,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.29072,12.43519,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.20795,12.35591,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.18725,12.38510,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.21594,12.50815,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.22094,12.46803,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.12472,12.36173,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.11918,12.36117,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
Mediterranean Sea,Adriatic Sea,Adriatic seabed,Italy,45.06740,12.43649,Aquaculture/fisheries,20.7,Class 4,DeFishGear-project - final report
